,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
EQT,22.764708,1.062,20690030592.0,,0.051119998,0.018099999,0.73,0.419,0.045939997
EFX,64.04497,1.583,37008199680.0,0.17,0.1305,0.0052,0.793,0.668,0.00456
EQIX,80.625,0.7,83285753856.0,0.43,0.085,0.0194,1.215,1.045,0.00303
EQR,31.257143,0.91,29927464960.0,0.276,0.085939996,0.0353,0.247,0.084,0.0050999997
ESS,37.897278,0.895,20355829760.0,-0.066,0.095369995,0.032,0.874,0.214,0.0114
EL,78.71296,0.997,30516381696.0,,0.06973,0.0311,1.389,0.898,0.00428
ETSY,25.074417,1.974,6186280448.0,-0.089,,,2.408,1.79,0.00912
EG,5.6976914,0.615,16768481280.0,0.027,0.23433,0.020599999,0.399,0.297,0.014099999
EVRG,19.265625,0.602,14176911360.0,0.155,0.07796,0.0417,0.593,0.138,0.00213
ES,,0.618,23994828800.0,22.736,-0.00548,0.042600002,0.747,0.272,0.00273
EXC,16.640495,0.601,40290136064.0,0.316,0.09455,0.0377,1.034,0.561,0.0010800001
EXPE,25.953152,1.793,18750982144.0,0.102,0.25459,,0.761,0.59,0.0089
EXPD,26.376873,0.958,17384146944.0,-0.046,0.28525,0.0119,1.711,1.442,0.0075700004
EXR,49.29235,0.871,39789424640.0,-0.414,0.08825,0.0359,2.15,0.396,0.01074
XOM,13.788278,0.878,512124977152.0,0.104,0.1469,0.033,1.36,0.983,0.00046
FFIV,23.650484,1.057,12778271744.0,0.649,0.19534001,,1.365,1.202,0.0057099997
FDS,33.446518,0.748,17723215872.0,0.377,0.30411,0.0089,1.252,1.077,0.00205
FICO,102.03745,1.348,47434227712.0,-0.006,,,1.872,1.761,0.02248
FAST,35.199005,0.996,40514707456.0,-0.019,0.33515,0.022,4.389,2.037,0.00179
FRT,33.146626,1.256,9528303616.0,0.843,0.093310006,0.038900003,0.362,0.35,0.01045
FDX,15.718517,,62214410240.0,-0.133,0.1507,0.0184,1.282,1.152,0.08185001
FIS,83.22772,1.086,45860278272.0,,0.03136,0.019,1.348,0.901,0.00106
FITB,13.7707,1.239,29226565632.0,-0.012,0.12485,0.0342,,,0.0057599996
FSLR,21.465595,1.44,25712689152.0,1.044,0.18106002,,2.228,1.415,0.05431
FE,28.20513,0.489,25340567552.0,-0.809,0.08081,0.038599998,0.513,0.293,0.00123
FI,30.888697,0.933,102254518272.0,0.391,0.11798,,1.059,0.157,0.0064600003
FMC,5.302564,0.855,7744080896.0,8.827,0.36833,0.0374,1.479,0.901,0.010240001
F,11.333334,1.635,43250720768.0,-0.022,0.08754,0.054899998,1.166,0.956,0.00274
FTNT,45.43195,0.998,58729635840.0,0.485,4.30883,,1.321,1.187,0.17495
FTV,30.658632,1.161,26745108480.0,-0.068,0.0865,0.0042,1.232,0.825,0.00328
FOXA,12.846644,0.77,17813149696.0,-0.08,0.14313,0.013300001,2.541,2.264,0.01154
FOX,11.9105425,0.77,17817901056.0,-0.08,0.14313,0.014400001,2.541,2.264,0.43991002
BEN,12.925466,1.408,10883588096.0,-0.273,0.07579,0.0596,5.122,1.464,0.46778
FCX,33.4812,1.891,63983374336.0,0.826,0.16131,0.0135,2.399,1.113,0.0063
GRMN,23.916084,1.009,32868593664.0,0.04,0.20961,0.0175,2.892,1.877,0.19544001
IT,48.773983,1.323,39576993792.0,0.181,1.34407,,0.898,0.773,0.02944
GE,50.794037,1.179,203232215040.0,,0.16128999,0.006,1.141,0.805,0.00153
GEHC,26.092485,,41227444224.0,0.022,0.21218,0.0013,1.059,0.717,0.06865
GEV,61.673367,,67452895232.0,,,,1.057,0.69,0.00098
GEN,27.583334,1.06,16299101184.0,,0.28326,0.0189,0.296,0.249,0.0926
GNRC,36.53608,1.385,8527246336.0,0.386,0.101239994,,2.253,0.908,0.01668
GD,23.91816,0.607,84321116160.0,0.207,0.17079,0.0185,1.332,0.717,0.005
GIS,17.740477,0.091,41364897792.0,-0.096,0.24168,0.0322,0.66,0.317,0.00261
GM,5.492135,1.439,54937210880.0,0.393,0.1463,0.0098,1.175,0.912,0.00238
GPC,15.840464,0.913,19089352704.0,-0.135,0.28061,0.0292,1.118,0.351,0.00345
GILD,102.36586,0.196,104504459264.0,0.554,0.05263,0.0367,1.142,0.783,0.00119
GPN,20.310093,0.991,28163631104.0,0.4,0.06343,0.009,0.916,0.346,0.0086
GL,9.6075945,0.808,9544252416.0,0.261,0.22686,0.009,0.52,0.392,0.022939999
GDDY,13.368027,1.125,22633213952.0,0.87,,,0.479,0.252,0.00632
GS,16.000963,1.353,157404184576.0,1.793,0.0949,0.0241,1.59,1.463,0.00521
HAL,9.790697,1.906,26016970752.0,0.182,0.28903,0.0231,2.13,1.339,0.0039399997
HIG,12.24421,0.924,34083389440.0,0.41,0.19529,0.0162,1.901,1.067,0.00283
HAS,,0.596,9927173120.0,,-0.56743,0.039300002,1.461,1.124,0.06032
HCA,19.007046,1.678,104432222208.0,0.289,7.36111,0.0064999997,1.061,0.78,0.27879998
DOC,45.854168,1.12,15387917312.0,1.305,0.03723,0.0545,2.356,1.462,0.00312
HSIC,26.254612,0.861,9015274496.0,-0.245,0.07253,,1.546,0.666,0.00892
HSY,21.642303,0.361,39533142016.0,-0.551,0.47917998,0.027999999,0.858,0.338,0.00275
HES,15.646099,1.164,41410654208.0,5.326,0.30075002,0.0149,1.269,1.106,0.09473
HPE,13.3404255,1.203,24427980800.0,0.086,0.086660005,0.0276,0.939,0.469,0.00413
HLT,47.392406,1.31,55357362176.0,0.077,,0.0027,0.636,0.546,0.02094
HOLX,27.778156,0.984,18904616960.0,,0.13846,,3.987,3.069,0.00712
HD,26.18267,1.003,387245178880.0,-0.011,5.13362,0.0231,1.148,0.253,0.00068000006
HON,23.21347,1.027,132110598144.0,0.063,0.32740003,0.0212,1.206,0.843,0.00092
HRL,22.216784,0.248,17421524992.0,0.075,0.10005,0.0356,2.289,0.984,0.00225
HST,17.669811,1.341,26777155584.0,0.17,0.10767999,0.0427,4.239,4.23,0.01313
HWM,43.31111,1.292,39773925376.0,0.413,0.23174,0.0033000002,1.528,0.645,0.01052
HPQ,12.196491,1.083,33488060416.0,-0.145,,0.0317,0.714,0.369,0.00198
HUBB,31.439852,0.898,22868600832.0,0.031,0.25931,0.0115,1.807,1.033,0.00361
HUM,21.875265,0.509,37373984768.0,-0.265,0.10155,0.0114,1.66,1.365,0.00214
HBAN,14.018868,1.068,21583108096.0,-0.143,0.08875,0.0417,,,0.009330001
HII,14.206586,0.514,10490458112.0,0.341,0.19121,0.0194,0.817,0.732,0.0060900003
IBM,24.028696,0.693,200533917696.0,0.141,0.36244,0.0307,1.123,0.869,0.00118
IEX,27.249348,0.949,15801570304.0,0.022,0.16726999,0.013200001,3.413,2.37,0.002
IDXX,50.271824,1.332,41707692032.0,-0.086,0.63246,,1.369,0.904,0.00939
ITW,24.933334,1.112,75507613696.0,0.024,1.01288,0.023599999,1.302,0.856,0.00735
INCY,160.34146,0.735,12661392384.0,,0.025150001,,1.92,1.689,0.020380002
IR,47.90594,1.423,39045144576.0,0.023,0.085319996,0.0008,2.178,1.416,0.00202
PODD,42.70397,1.206,16587926528.0,5.639,0.50931,,3.598,2.407,0.00341
INTC,91.0,1.02,93387841536.0,,0.00782,0.023699999,1.587,1.079,0.00063
